ma_nganh,to_hop_thi,diem_Toan,diem_Ly,diem_Hoa,diem_Anh,diem_Van,diem_Su,diem_Sinh,diem_Dia,diem_Gdktpl,diem_Tin
7480201,D07,6.75,,8.2,8.0,,,,,,
7850101,A00,6.0,7.25,7.0,,,,,,,
7340201,A00,7.5,7.5,8.6,,,,,,,
7480202,D01,6.6,,,7.2,5.75,,,,,
7480202,A00,5.75,4.0,7.4,,,,,,,
7510401,A00,7.8,7.0,6.75,,,,,,,
7340115,A01,7.5,7.8,,8.4,,,,,,
7480201,D07,8.0,,8.0,7.2,,,,,,
7340115,D01,7.2,,,8.4,8.25,,,,,
7340120,D01,7.75,,,8.6,8.0,,,,,
7510202,A00,8.0,7.25,7.4,,,,,,,
7220201,D01,7.5,,,8.2,7.2,,,,,
7480201,A00,8.0,5.75,8.5,,,,,,,
7810202,A01,7.25,6.2,,8.4,,,,,,
7380107,A01,7.5,8.0,,7.4,,,,,,
7340201,A00,7.8,7.25,7.0,,,,,,,
7480202,A00,7.4,6.5,6.0,,,,,,,
7540101,D07,7.75,,7.0,6.8,,,,,,
7510401,D07,7.6,,4.75,5.0,,,,,,
7340101,D01,8.25,,,7.4,5.0,,,,,
7480201,A00,8.25,7.5,7.2,,,,,,,
7340122,A00,7.5,7.75,8.0,,,,,,,
7340201,D01,8.2,,,7.8,6.5,,,,,
7850101,A00,7.8,6.75,7.75,,,,,,,
7380107,D01,7.0,,,5.8,8.25,,,,,
7340115,D01,7.25,,,7.2,8.0,,,,,
7540101,A01,8.25,8.0,,8.2,,,,,,
7520115,D01,6.75,,,7.8,5.6,,,,,
7340101,A00,7.0,7.0,7.0,,,,,,,
7810202,D01,7.25,,,8.0,6.0,,,,,
7340122,D01,7.25,,,8.4,6.8,,,,,
7810103,D01,7.25,,,6.8,4.4,,,,,
7380107,A00,7.25,7.5,7.6,,,,,,,
7480201,D01,7.75,,,7.0,6.8,,,,,
7540101,A00,7.25,7.25,6.4,,,,,,,
7510401,A00,6.8,6.0,6.25,,,,,,,
7480202,A00,4.5,7.0,6.8,,,,,,,
7510301,D01,7.2,,,7.0,7.0,,,,,
7380107,A00,7.75,7.5,7.0,,,,,,,
7510202,D01,5.75,,,7.2,6.4,,,,,
7340301,A00,6.25,7.0,6.6,,,,,,,
7480201,A00,8.4,7.5,7.75,,,,,,,
7340201,A00,8.4,7.5,7.0,,,,,,,
7480201,D01,7.0,,,6.4,9.2,,,,,
7810201,A00,8.6,6.75,7.75,,,,,,,
7340115,D01,8.75,,,7.6,7.2,,,,,
7480201,A01,8.25,7.4,,8.2,,,,,,
7340122,A00,7.0,7.25,7.4,,,,,,,
7220204,D01,8.0,,,7.6,8.2,,,,,
7340101,D01,8.0,,,8.0,8.5,,,,,
7480201,D07,7.75,,8.6,7.0,,,,,,
7810201,D01,7.4,,,7.2,7.75,,,,,
7220204,D01,7.4,,,7.4,7.75,,,,,
7340201,D01,6.75,,,7.8,8.0,,,,,
7480201,D07,7.25,,8.0,8.2,,,,,,
7480201,D07,8.0,,7.4,7.4,,,,,,
7340115,D01,8.0,,,7.8,8.6,,,,,
