to_hop_thi,ma_nganh,diem_Van,diem_Dia,diem_Anh,diem_Toan,diem_Gdktpl,diem_Tin,diem_Su,diem_Ly,diem_Hoa,diem_Sinh,nguon,j_nganh,ma_nhom
D01,7480202,5.0,,7.2,8.0,,,,,,,ttth,17,0
A00,7810201,,,,7.75,,,,6.5,8.2,,ttth,34,4
D01,7340129,8.25,,6.8,6.2,,,,,,,ttth,7,7
A00,7340101,,,,8.6,,,,7.25,8.5,,ttth,2,1
A00,7340101,,,,7.0,,,,8.25,8.4,,ttth,2,1
B00,7540101,,,,8.5,,,,,8.0,7.2,ttth,28,7
A01,7480201,,,7.2,7.0,,,,8.0,,,ttth,16,0
A01,7510203,,,7.8,7.25,,,,6.6,,,ttth,19,5
D01,7380107,7.25,,6.4,7.4,,,,,,,ttth,12,8
D09,7220201,,,9.0,7.4,,,6.75,,,,ttth,0,8
D01,7220201,7.8,,6.0,6.75,,,,,,,ttth,0,8
D01,7480201,7.0,,8.4,8.2,,,,,,,ttth,16,0
D07,7480201,,,8.6,8.75,,,,,7.4,,ttth,16,0
D07,7540101,,,8.4,7.8,,,,,8.75,,ttth,28,7
A01,7340120,,,7.2,7.8,,,,7.75,,,ttth,4,1
A00,7340301,,,,7.25,,,,8.25,8.0,,ttth,10,2
A00,7340201,,,,7.0,,,,7.75,7.8,,ttth,8,2
B00,7540101,,,,7.5,,,,,7.25,7.0,ttth,28,7
D01,7510203,8.0,,6.6,7.75,,,,,,,ttth,19,5
B00,7510401,,,,6.5,,,,,8.75,6.8,ttth,22,6
D01,7380107,5.4,,6.8,8.0,,,,,,,ttth,12,8
A00,7340301,,,,7.8,,,,6.0,8.5,,ttth,10,2
A00,7340301,,,,7.0,,,,7.5,7.6,,ttth,10,2
A00,7340120,,,,7.75,,,,6.0,7.6,,ttth,4,1
A00,7510303,,,,6.25,,,,7.25,7.4,,ttth,21,5
D07,7480201,,,9.0,7.6,,,,,7.75,,ttth,16,0
B00,7420201,,,,7.6,,,,,6.5,5.25,ttth,13,7
A00,7540105,,,,8.0,,,,8.0,8.25,,ttth,29,7
D01,7510301,7.0,,7.2,7.75,,,,,,,ttth,20,5
A00,7510202,,,,7.6,,,,6.5,7.25,,ttth,18,5
A00,7340201,,,,6.25,,,,7.0,7.2,,ttth,8,2
D15,7810202,7.25,7.8,8.0,,,,,,,,ttth,35,4
A00,7380107,,,,7.0,,,,6.0,7.0,,ttth,12,8
A00,7340301,,,,6.75,,,,7.5,7.6,,ttth,10,2
A00,7480202,,,,7.2,,,,6.25,7.75,,ttth,17,0
A00,7810103,,,,7.25,,,,7.5,7.0,,ttth,33,4
D01,7480201,5.6,,7.0,8.0,,,,,,,ttth,16,0
A01,7510203,,,7.8,7.0,,,,7.2,,,ttth,19,5
A01,7480201,,,7.0,6.75,,,,8.0,,,ttth,16,0
D01,7340101,6.0,,7.2,9.0,,,,,,,ttth,2,1
A00,7540101,,,,8.0,,,,8.25,8.2,,ttth,28,7
D01,7340101,7.75,,8.4,7.6,,,,,,,ttth,2,1
A01,7480201,,,8.2,7.75,,,,8.2,,,ttth,16,0
D07,7480201,,,7.6,7.75,,,,,6.8,,ttth,16,0
D07,7850101,,,5.4,7.0,,,,,5.25,,ttth,38,7
A01,7540101,,,7.8,7.5,,,,7.2,,,ttth,28,7
D15,7810202,7.75,5.4,8.75,,,,,,,,ttth,35,4
D01,7340201,5.2,,6.8,8.75,,,,,,,ttth,8,2
D01,7340120,8.0,,8.0,8.0,,,,,,,ttth,4,1
D01,7480201,8.0,,7.6,7.0,,,,,,,ttth,16,0
D01,7220204,7.0,,9.4,6.4,,,,,,,ttth,1,8
A00,7540101,,,,8.0,,,,7.75,8.5,,ttth,28,7
A00,7510303,,,,6.0,,,,5.25,6.0,,ttth,21,5
D01,7340120,8.2,,7.4,6.5,,,,,,,ttth,4,1
A00,7540204,,,,7.0,,,,5.5,8.0,,ttth,31,6
A01,7480201,,,8.8,7.4,,,,6.25,,,ttth,16,0
D07,7540101,,,8.6,8.0,,,,,7.4,,ttth,28,7
D01,7510203,5.0,,5.4,7.4,,,,,,,ttth,19,5
D01,7510303,6.5,,6.8,7.4,,,,,,,ttth,21,5
D01,7340201,7.0,,7.4,8.5,,,,,,,ttth,8,2
B00,7540101,,,,8.0,,,,,6.75,7.2,ttth,28,7
D01,7480201,7.2,,6.4,7.0,,,,,,,ttth,16,0
D07,7480201,,,7.0,7.5,,,,,6.6,,ttth,16,0
D07,7540101,,,7.4,8.25,,,,,7.4,,ttth,28,7
A00,7340120,,,,8.0,,,,7.25,8.5,,ttth,4,1
A00,7480202,,,,6.4,,,,4.25,7.25,,ttth,17,0
D01,7510301,4.2,,7.2,6.25,,,,,,,ttth,20,5
