idx,fold,y,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38
523,6,32,0.000508254351863892,0.0003874015369788617,0.005016818201044134,0.002726989854178512,0.0024847066419572054,0.0018382343241594805,0.0019524525685147252,0.010446443581692262,0.008072601322995091,0.0018295396208575867,0.0033684560178254565,0.001412526029817078,0.006275169694630752,0.011743391661436961,0.005116882414032621,0.002702487071555926,0.03184013101921043,0.006711041430387736,0.1521712968023919,0.11521452001081871,0.17792466812395494,0.04131681651863209,0.20006128927812947,0.01972762791780066,0.0024455894313476323,0.0013176906571826603,0.0019644647935794144,0.06876590051264218,0.00961684022493781,0.00804345842424464,0.018681472675170386,0.03868985732552381,0.0042651411771294796,0.004046266224498226,0.010600432958805705,0.007883538153809258,0.0024183818027358832,0.00418780234897614,0.006223417294550384
525,6,35,0.00013249031908125122,0.000129889747981988,0.0037514613563066146,0.0014046735282941703,0.0010542350410368477,0.0011295052351249478,0.0015540305999773945,0.001953843701548073,0.0014216129497192757,0.0032245512861100328,0.0021506261259383484,0.0006757553590331903,0.0006079697469006975,0.0010584593724222398,0.0004984252886347024,0.0004981425387011438,0.002104717841770052,0.0009760842909527422,0.013594682859603533,0.004206571819816357,0.0037246675322814313,0.002359161737180317,0.0025592534797228717,0.0015150120219534207,0.0012520714277545735,0.0016533918576948615,0.0012087101116864652,0.007045216430896591,0.003010446632509649,0.0031606659835654383,0.005360146459354903,0.001541081678455075,0.39781429185435396,0.09117327385551985,0.32488207078184705,0.04731650637222467,0.014900258038536673,0.04590075734257301,0.0014952873929356722
531,6,19,0.03593239610509258,0.02109473347820544,0.06564749345844052,0.08719739003692377,0.07294655534601566,0.02847102293676652,0.00678765265721497,0.008136781464437423,0.1489698605008414,0.01798594465077541,0.0411770133222109,0.005315347455085576,0.018980849843388933,0.007438499672002262,0.007536214634744446,0.010445574630401864,0.225886017263138,0.021508991418969763,0.00385092106881886,0.008027716384081616,0.019350812556442897,0.006555831160323696,0.004279498248476238,0.0029005073504586656,0.004181742683241616,0.03623333365717515,0.024256301845668272,0.0025890354167104894,0.017581930586811675,0.002162683908281621,0.003501003077633878,0.004007776274112865,0.003697016735124367,0.006092926545562908,0.004526941952488054,0.005076998468590357,0.003860404671149362,0.0020074001966469373,0.0038008783375452276
532,6,0,0.14457210935790904,0.11220719102970371,0.04979247135837972,0.13963117852622403,0.05852995825773348,0.05410601998910161,0.008987599274446261,0.0022229520564089646,0.04958789884568156,0.015480888210677609,0.05048083695842281,0.037223005004750856,0.01694745833259054,0.001212728365853248,0.0046638365529618345,0.0024960033948768097,0.009115629795337839,0.005363404237585533,0.001811336764185411,0.002537016334750965,0.002025411779233011,0.0040482032557812,0.0016984360757656273,0.001630652122837146,0.0008391519942234796,0.032090157737664785,0.03690161103909403,0.0012044355074444517,0.0021817068996155273,0.0007085965164855049,0.0014670921537860283,0.003550515640602394,0.02081044532752641,0.05611084323576,0.02201354839253767,0.04122360330325887,0.001803023636804473,0.0018943790655003376,0.0008286636684973062
536,6,9,0.01465168394307378,0.018548284493378968,0.02358515820511407,0.012566637200624918,0.013073863684115616,0.007678979925730075,0.002888772921344937,0.004947987363720451,0.03244464281936826,0.006014320286033755,0.009433244519562265,0.00433124060392202,0.005328374391154739,0.0045490313038943925,0.014219505595130851,0.019925812525776184,0.6557470886482133,0.056840162053587814,0.002789536703535583,0.010551242170331892,0.00820657310013872,0.007794176501751087,0.0030784795285548313,0.00446601794952621,0.0029251831149966056,0.006644971105032403,0.009390778594322557,0.002479497009817206,0.005508584334504431,0.0013777999619625446,0.003264227748932307,0.0031904501041658826,0.0018654092500835857,0.005502223297699587,0.0037748126066093073,0.004041945160648788,0.0019580266583593612,0.0012450794523642668,0.0031701951629165056
544,6,20,0.008806667897745911,0.0133922230917129,0.058907993251128304,0.10321277215984226,0.09823788448419178,0.04062272596057476,0.014075939313610298,0.011226573260635002,0.09375018936582939,0.015261892970791797,0.03543604240305596,0.0037221795033237936,0.0167613696351913,0.0033957418508422533,0.005050678159989317,0.008721649566766684,0.043641160395739904,0.012598883599456469,0.010101418248790935,0.04322405042344864,0.11136682426500402,0.013292209734405501,0.007853195684608164,0.009183846816254355,0.0025109829428976195,0.023764614768574072,0.062167550481778994,0.006261916786223345,0.003903274763225711,0.001988253853949296,0.002598146203061274,0.030628248370493254,0.0073095826805282815,0.027409006625737618,0.014431629500140845,0.02243976918484515,0.005148751546623378,0.0033233283555110424,0.004270831893470404
566,6,16,0.041064191482922445,0.019823115964191756,0.04207623130999081,0.021876314643936173,0.03291574138578438,0.019175022058739544,0.011608710094923968,0.01533062645795594,0.031180356290125586,0.007237975009439888,0.03812168467777783,0.002241522349528911,0.005435142509296647,0.007415702783843711,0.0187780874790063,0.03967435752361997,0.3998535762172753,0.06762156383534682,0.005045163071519972,0.013945229317563628,0.01205825821241619,0.021510307679238082,0.006277844777721343,0.004092055633270683,0.0029154915941947213,0.01572988575618532,0.02413344078661031,0.00412468312472628,0.012387033601766023,0.0027893174957533246,0.006352739474003138,0.005380060176275362,0.004242213865599711,0.009029748549937551,0.007190179401075301,0.00934682506288546,0.006416489558739376,0.002585798663301664,0.003017312123510671
571,6,13,0.002041667071215721,0.0023720505887694014,0.013965568431881955,0.01183101456090211,0.015544031409151308,0.007998341420571287,0.0028755583938295183,0.020804709982766692,0.01284996120904979,0.004517818864532372,0.009353427534938114,0.0022165312924444305,0.004419046929586739,0.06438752997034478,0.005286622528343316,0.007947020613544653,0.2954928560632667,0.01695658244046076,0.0035385260346866947,0.007087184639539023,0.0181021968930398,0.011951822272313938,0.029525435032130495,0.02679583507166813,0.011742295762748949,0.006856435293259785,0.010047070138554087,0.0027452551857467832,0.09911126396943666,0.017569811065724483,0.10098838566643784,0.0037482212252233924,0.008776760631232422,0.017406694409543285,0.02035499025169316,0.022382044789999223,0.044421860217294565,0.026795326682125347,0.009192245462002237
1,7,16,0.00047368503874787524,0.0003379770993434523,0.018122542076598004,0.021805076022767746,0.04538853692371546,0.02103528362153043,0.0028204019663840827,0.001560598567127924,0.0501709949912598,0.0045362864471804,0.013684052850869065,0.0013019211553169502,0.0014163562645162504,0.0010660784373896066,0.011326358021950611,0.06390363291442616,0.5491905218346801,0.028007730618224598,0.007712950927142241,0.011311651286876707,0.009496150527297994,0.03251551321143056,0.007180146251779526,0.0027691621149148107,0.0005547773523089455,0.06575662988149346,0.00954061454576419,0.0028583209804333813,0.002978488561055248,0.0006812537524367225,0.001200889102855567,0.0028536988402766196,0.0007827898533209551,0.0012736852899672233,0.0011658642051243435,0.001180791973437314,0.0005515272589834609,0.0005971316577233399,0.0008899275733489186
3,7,34,0.02301739766299905,0.01046190241172428,0.02401643213078878,0.0344219296282568,0.1315651100739786,0.011737150316864849,0.015129020316070442,0.002516099930859069,0.056880688851362826,0.013430936104124177,0.042956589661944856,0.01000077020479006,0.06975130265143888,0.0033568706411450868,0.03399693489347338,0.003385784706123116,0.015159271151079038,0.01427037922498165,0.032896087075056604,0.042672120054870144,0.06222856905610964,0.04126395439019008,0.05246095664320819,0.03196440512417586,0.0016581305205907576,0.0052365401774687485,0.008579065027513861,0.03762506296349366,0.004066251227816484,0.0011847332585521555,0.001697660683426438,0.12570961245452572,0.00608303485360224,0.006722414363816355,0.006932429003460455,0.007639199404758992,0.0033889974062872056,0.0025555595099682007,0.0013806462391033143
7,7,19,0.010719870336338004,0.0022908960902043012,0.036313812420547424,0.08442497593513013,0.0791680863872219,0.01816280144437357,0.07889680026820517,0.008214135854239272,0.053782277757824626,0.0062932238560128445,0.020306107519357908,0.0016704938114708312,0.002551654837668191,0.008676157951033523,0.03188374979898232,0.00958875317649215,0.2112076713340624,0.015932363994474067,0.008122506079580925,0.037550258594905406,0.03480813194662668,0.012137562971927921,0.059541212931719587,0.03249275602283833,0.002342248721113372,0.011777146858180381,0.016578870999927733,0.005038897841850943,0.04649699613781764,0.004260061092946265,0.00978213918044651,0.012650740901938051,0.005784173559605593,0.004539608413019539,0.0043873897399571505,0.0034765536613612508,0.0021126012199255474,0.0019481116750461717,0.00408819867562623
8,7,8,0.02253730066101238,0.07168554709467118,0.06176044751706323,0.11418903367607339,0.08008390711442322,0.02855031043238059,0.05232412190890154,0.020430824970434074,0.10708570503450643,0.02297499995431585,0.14992327120444926,0.013230586861386236,0.04101153881174725,0.003416213457097484,0.0032963804475435446,0.003034629991228766,0.026109918103232387,0.010601097968575824,0.0030728417910039513,0.003498664119076702,0.0028178169159270446,0.004337309332590379,0.0014725740194301692,0.0013123487766937489,0.0018140538496998059,0.0281496142863539,0.026565935622165592,0.0015446681456870845,0.010281991595110769,0.0024399302079274815,0.0034537471103200826,0.005610046449288342,0.006765611297855889,0.01626372380003878,0.014702069526898717,0.025346738079037912,0.0024889935598210945,0.0026082730176401185,0.003207213288389959
9,7,0,0.036639106018860036,0.02161571734427717,0.21778934920117157,0.051162921432913434,0.07059298040721823,0.02359709652681417,0.012497948647656642,0.0016142484092821696,0.04912568286892001,0.030873487679220546,0.01782211601105743,0.0006043591187297257,0.0009691921855046036,0.0011131507058081745,0.004882575456779763,0.005925428486359091,0.008812724554072079,0.007039933034612155,0.0029726620053568582,0.005410021143891627,0.0266091844286307,0.005488963968632882,0.00254068904089987,0.0022495646482833575,0.0006560215284951493,0.014551677756962297,0.041922203297061596,0.0020512989913859707,0.0016585987053913316,0.0006343984502738405,0.0019352155680574322,0.016280826461890253,0.037031131646106295,0.106600658657244,0.0789470053906901,0.07511293755429728,0.005512021070189598,0.007893745344657666,0.0012631562523449068
11,7,36,0.00141499084338701,0.00040210001828750347,0.0014265676939406514,0.001815950772945222,0.0018169732728250188,0.0017187263935072947,0.000813061276288834,0.08928342314148097,0.0016610139188038395,0.0011764840892602596,0.0023695634308890804,0.0012414336565306884,0.0072973834791600885,0.12270612439031456,0.0011549674424004787,0.0016563194540871907,0.010061519065493425,0.002904364436054663,0.0035043393541262457,0.008195441099437838,0.005688917921731857,0.005738535086810397,0.024486890487990024,0.009770187917484305,0.010366885162497333,0.0008004200987375273,0.0011357823927051493,0.005617584149923829,0.10791039419482167,0.35286946370117367,0.13961544016327668,0.004807628588054108,0.0028376518222228224,0.0036794855422792472,0.003567584513271867,0.004614498561209622,0.02864940885238356,0.010715177893799116,0.014507315720406458
29,7,0,0.026374139704519687,0.03134552118848386,0.032709625205748875,0.009345734317459456,0.00876357783583636,0.010175358500602303,0.07889684697088253,0.015056587282629362,0.010731734461385837,0.026062298595547474,0.014615754975962455,0.01294709306114425,0.004199626516550553,0.007483151772852453,0.01007385563928628,0.01390899337390535,0.005789238769668416,0.01636206734720568,0.08095295535496666,0.020191484834196943,0.026871498968241286,0.015497442552342918,0.0037735396815511348,0.004607930709503563,0.009536083706585563,0.013277515640438574,0.015537550900264461,0.01580714689995745,0.01589385880198201,0.006471365049312916,0.01082069919329505,0.008569082529288752,0.08619299435393886,0.09854481855582654,0.06506117476493228,0.11532119274876779,0.012882347840278311,0.014659708532916833,0.02468840286174103
30,7,10,0.10590656432121039,0.06806241834314104,0.07007127581539437,0.14561452767411948,0.17011882768990771,0.044763721668031504,0.016972459934951334,0.006507627895430039,0.11959615922398871,0.008944074872413168,0.10861143219746325,0.001773190596160998,0.005459822302693516,0.0017143997368936513,0.001326328303610254,0.0018803479620824674,0.016547151718171563,0.003961474470683469,0.001134178445388626,0.0014758649595616655,0.001361261420690574,0.0019144998757735236,0.0011240345485108538,0.0009394627924535063,0.0009315489055719543,0.023483400649923724,0.028886254235437118,0.0007983565245574526,0.003440958107162222,0.0010170208851233706,0.0016551257235444604,0.00339962115977669,0.0022634161577479626,0.007281327749650892,0.006700671057226433,0.010589546858815394,0.001147361903552892,0.0011308681642440456,0.0014934151489397432
31,7,5,0.0008247877280987199,0.0006811183410824337,0.03746469196557568,0.05531170619470991,0.09381512012995817,0.030539853666394546,0.011903166496750101,0.016373327238831406,0.04570359130125108,0.009545463546533621,0.06324781463713615,0.02598552164430582,0.14412964714954168,0.023672437985940206,0.0071422413832023315,0.006009247055341771,0.15576593272205352,0.010718277061655878,0.003634171791116363,0.008468528757929328,0.004216119196748062,0.014042181229608253,0.024823249981393628,0.004112673436605133,0.0037699065309762247,0.041178596978002704,0.02320689383021633,0.0025861241157913027,0.06700649936566494,0.0054509379355665325,0.022595147186194334,0.0047191755340612864,0.0024801814765802316,0.007689665923683589,0.004750344544115115,0.006203300114567271,0.001894447210329644,0.0024222183147554143,0.005915690297731204
