macro_f1,top3,gap,ty_le_that,max_depth,learning_rate,n_estimators,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,gamma,max_delta_step
0.11586078409607821,0.3588558352402746,0.591404555720076,1.0,2,0.02,600,0.6,0.8,10,0.1,1.0,5.0,1
0.1157288295749834,0.3519145690312738,0.5261220043572985,0.4,6,0.12,600,0.8,1.0,20,5.0,30.0,0.1,0
0.11550326011388168,0.32225781845919144,0.8331817751255091,0.4,10,0.03,600,0.7,1.0,1,0.5,1.0,0.5,1
0.11506470988371442,0.35014492753623183,0.36585478330666105,0.4,6,0.08,600,0.7,0.3,6,5.0,100.0,1.0,0
0.11466009278718307,0.33449275362318837,0.813566354077863,1.0,4,0.08,600,0.9,0.4,10,2.0,0.1,0.5,1
0.11406577312150068,0.3431578947368421,0.7435098188779709,1.5,4,0.01,600,0.8,0.8,6,0.5,100.0,0.5,5
0.11380681242672193,0.3205339435545385,0.23815248550475365,0.15,2,0.05,600,1.0,0.3,10,10.0,1.0,0.0,5
0.11366898310337223,0.33969488939740655,0.26301022519356076,0.15,3,0.08,600,0.9,0.6,20,2.0,3.0,0.1,5
0.11346231110936993,0.3240122044241037,0.8518840579710144,0.8,10,0.2,600,1.0,0.4,3,0.0,3.0,0.5,5
0.11340781826730864,0.34842105263157896,0.5710059676044331,1.0,2,0.12,600,0.5,0.6,10,0.0,1.0,0.0,0
0.11335702758779682,0.34840579710144925,0.4925640757192783,0.25,10,0.02,600,0.9,1.0,10,0.0,100.0,0.1,0
0.11269870943007405,0.3326926010678871,0.49602927466435337,0.25,4,0.2,600,0.8,1.0,3,2.0,10.0,1.0,5
0.11217129275952806,0.36581235697940506,0.5043610874301412,0.4,6,0.03,600,0.6,1.0,20,0.5,10.0,1.0,0
0.1115209719055873,0.33966437833714724,0.6463849877606777,0.6,4,0.2,600,0.6,1.0,10,2.0,1.0,0.1,3
0.10965476120790876,0.337955758962624,0.8318297662314353,2.0,5,0.2,600,0.6,0.3,3,0.0,10.0,0.5,1
0.10827212003682592,0.36762776506483597,0.38672434852405235,0.4,2,0.03,600,0.8,0.6,6,0.1,10.0,0.0,0
0.10777497515054076,0.3223188405797101,0.2552119072902489,0.25,3,0.01,600,0.8,0.8,30,0.0,0.1,5.0,5
0.10773065062181517,0.3605644546147979,0.5182951695806723,0.8,5,0.2,600,1.0,0.6,3,2.0,100.0,5.0,1
0.10699624112579578,0.3536384439359267,0.32882552359870976,0.6,8,0.02,600,0.8,0.4,6,0.0,100.0,5.0,3
0.1066989937637711,0.337955758962624,0.739983049410967,0.8,4,0.2,600,0.7,0.4,10,0.0,1.0,0.1,0
0.10668588196928278,0.3257971014492754,0.8441018431272841,0.4,10,0.03,600,0.8,0.6,1,0.1,3.0,0.1,5
0.10637867468898668,0.35533180778032036,0.2787021831361581,0.25,2,0.08,600,0.8,0.6,3,10.0,100.0,1.0,5
0.10564809534445163,0.34836003051106024,0.7452194852006402,1.5,4,0.08,600,0.5,1.0,20,0.1,10.0,5.0,1
0.10455212376026857,0.3466666666666666,0.4276955674209679,0.4,4,0.01,600,0.9,1.0,30,0.1,30.0,0.5,5
0.10447602924978491,0.3292448512585812,0.20816719263347344,0.4,5,0.12,600,0.6,0.4,50,5.0,1.0,5.0,0
0.10418523072369226,0.32225781845919144,0.8510431093362847,1.5,5,0.2,600,0.9,0.3,3,0.1,1.0,0.0,5
0.10411686454196575,0.3536231884057971,0.3871886949542085,0.6,4,0.02,600,0.6,0.8,50,5.0,30.0,0.1,3
0.10262485712711958,0.30140350877192984,0.15716955075953595,0.15,6,0.03,600,0.9,0.4,50,10.0,30.0,0.1,0
0.10262044448279266,0.3396796338672769,0.30402701126217074,0.6,3,0.01,600,0.8,0.6,30,2.0,100.0,0.5,5
0.10192854238103106,0.31879481311975594,0.2538923039340323,0.25,4,0.02,600,0.7,1.0,50,0.0,30.0,0.1,5
0.10174744896464354,0.3431426392067124,0.2869602109849788,0.25,8,0.05,600,0.7,0.8,30,5.0,100.0,1.0,3
0.09978589284019149,0.32575133485888635,0.27350498297462894,0.15,3,0.08,600,0.7,1.0,6,10.0,30.0,0.1,3
0.09540779816797915,0.32050343249427915,0.17772986743642283,0.4,3,0.02,600,0.5,0.3,30,10.0,10.0,2.0,0
0.09532375032375032,0.315301296720061,0.8061477792235634,1.5,8,0.2,600,0.5,0.8,6,0.0,0.1,0.5,0
0.09513641461605263,0.3222273073989321,0.29224630202958374,0.15,8,0.08,600,1.0,0.6,1,5.0,100.0,1.0,3
0.09285399261107763,0.33278413424866515,0.3488313067408504,0.15,3,0.03,600,0.7,1.0,3,0.5,3.0,0.5,3
0.09091592207976026,0.31008390541571323,0.8223459615221629,1.5,10,0.2,600,0.5,0.6,3,0.5,0.1,0.1,1
0.08518558527727378,0.2769488939740656,0.11933922615575596,0.15,4,0.2,600,0.5,0.8,15,0.1,30.0,5.0,1
0.08457236328277053,0.30483600305110603,0.23958675461031093,0.15,5,0.02,600,0.8,1.0,3,10.0,30.0,2.0,3
0.07969180392257316,0.3240122044241037,0.22732150780474916,0.15,10,0.03,600,0.7,1.0,15,10.0,3.0,1.0,0
0.07941390602024086,0.29264683447749806,0.15722498915660849,0.15,6,0.02,600,0.5,0.8,20,10.0,10.0,1.0,5
0.04674351910955864,0.2473379099923722,0.05623003943504684,0.15,4,0.02,600,0.5,0.4,30,0.5,100.0,5.0,1
0.042025867632430276,0.2299313501144165,0.04881979031124273,0.15,2,0.02,600,0.5,0.3,20,10.0,100.0,5.0,3
