nganh_hoc,longstring,irv,mahalanobis_d2,vuot_longstring,vuot_irv,vuot_mahalanobis,so_vi_pham,bi_loai
Ngôn ngữ Anh,10,0.0,0.8329679811025518,1,1,0,2,1
Công nghệ thông tin,9,0.3,1.261384295976569,0,0,0,0,0
Công nghệ kỹ thuật cơ điện tử,6,0.4898979485566356,6.636326328596372,0,0,0,0,0
Công nghệ kỹ thuật hóa học,7,0.7,4.409261346232384,0,0,0,0,0
Công nghệ thực phẩm,5,0.66332495807108,7.594711781008586,0,0,0,0,0
Công nghệ tài chính,10,0.0,5.258607074317781,1,1,0,2,1
Công nghệ tài chính,10,0.0,0.8329679811025518,1,1,0,2,1
Công nghệ tài chính,10,0.0,5.258607074317781,1,1,0,2,1
Công nghệ tài chính,6,1.1357816691600546,10.152119576292783,0,0,0,0,0
Kế toán,3,1.4317821063276353,24.040685416318716,0,0,0,0,0
Công nghệ thực phẩm,3,0.8944271909999159,11.263670092076007,0,0,0,0,0
Công nghệ chế biến thủy sản,4,0.9797958971132713,11.688843048994299,0,0,0,0,0
Công nghệ chế tạo máy,10,0.0,0.8329679811025518,1,1,0,2,1
Công nghệ thực phẩm,3,0.48989794855663565,7.380533305038465,0,0,0,0,0
Công nghệ kỹ thuật cơ điện tử,5,0.3,1.4721714294952821,0,0,0,0,0
Công nghệ tài chính,10,0.0,0.8329679811025518,1,1,0,2,1
Công nghệ kỹ thuật hóa học,8,0.7,3.0048576721081717,0,0,0,0,0
Tài chính ngân hàng,2,1.1,14.73456231740217,0,0,0,0,0
Công nghệ kỹ thuật hóa học,4,0.6403124237432849,6.678663614865951,0,0,0,0,0
Thương mại điện tử,1,0.7483314773547882,11.375627488721983,0,0,0,0,0
Thương mại điện tử,1,1.0,17.529649605260108,0,0,0,0,0
Ngôn ngữ Trung Quốc,4,1.4866068747318506,28.595083921890073,0,0,0,0,0
Thương mại điện tử,9,1.2,15.872922779295472,0,0,0,0,0
Công nghệ tài chính,4,0.9433981132056604,12.820901795371025,0,0,0,0,0
Công nghệ sinh học,2,0.7483314773547882,8.7387848341108,0,0,0,0,0
Công nghệ thực phẩm,2,1.2206555615733703,16.29950776338297,0,0,0,0,0
Công nghệ sinh học,4,0.7,5.953554174175174,0,0,0,0,0
Quản trị kinh doanh,1,1.1874342087037917,13.915367379086444,0,0,0,0,0
Marketing,2,1.2649110640673518,19.69494336909304,0,0,0,0,0
Marketing,2,0.7,6.103092001370589,0,0,0,0,0
Quản trị nhà hàng và dịch vụ ăn uống,2,1.1135528725660042,10.287446314824312,0,0,0,0,0
Công nghệ sinh học,10,0.0,1.0973051462361,1,1,0,2,1
Công nghệ sinh học,7,0.39999999999999997,2.3760815588293216,0,0,0,0,0
Công nghệ sinh học,10,0.0,5.258607074317781,1,1,0,2,1
Quản trị nhà hàng và dịch vụ ăn uống,5,0.6633249580710799,9.026056975647789,0,0,0,0,0
Thương mại điện tử,6,0.39999999999999997,1.7366175550342122,0,0,0,0,0
Quản trị dịch vụ du lịch và lữ hành,3,1.004987562112089,10.420397652735153,0,0,0,0,0
Công nghệ kỹ thuật cơ điện tử,5,1.4142135623730951,24.83788733401488,0,0,0,0,0
Công nghệ kỹ thuật điện - điện tử,2,0.7000000000000001,7.604016764828375,0,0,0,0,0
Công nghệ thực phẩm,4,0.66332495807108,3.031980001762749,0,0,0,0,0
Quản trị khách sạn,2,1.284523257866513,15.390287763971921,0,0,0,0,0
Công nghệ vật liệu,4,0.9433981132056604,11.965841643111254,0,0,0,0,0
Kinh doanh quốc tế,3,1.469693845669907,13.978894021086361,0,0,0,0,0
Kinh doanh thời trang và dệt may,2,0.9433981132056604,10.63179012344516,0,0,0,0,0
An toàn thông tin,3,1.4177446878757827,12.984607285342591,0,0,0,0,0
Quản trị dịch vụ du lịch và lữ hành,2,1.2806248474865698,17.06358614413559,0,0,0,0,0
Quản trị khách sạn,2,1.2,10.729607938001973,0,0,0,0,0
Du lịch,3,0.9219544457292888,5.210054656661,0,0,0,0,0
Quản lý Công nghiệp,3,1.3453624047073711,10.055944106050868,0,0,0,0,0
Quản trị dịch vụ du lịch và lữ hành,2,0.9219544457292888,9.741597466027962,0,0,0,0,0
Tài chính ngân hàng,2,1.019803902718557,8.007870523126028,0,0,0,0,0
Công nghệ kỹ thuật điều khiển và TĐH,2,1.5491933384829668,12.081800858431508,0,0,0,0,0
Công nghệ kỹ thuật cơ điện tử,3,1.8000000000000003,21.09265967298243,0,0,0,0,0
Quản trị kinh doanh,3,1.4696938456699067,12.11444603974337,0,0,0,0,0
Quản trị nhà hàng và dịch vụ ăn uống,2,1.019803902718557,10.977531981943308,0,0,0,0,0
Công nghệ sinh học,3,1.044030650891055,10.86217552791301,0,0,0,0,0
Quản trị kinh doanh thực phẩm,2,1.0,10.150073432974638,0,0,0,0,0
Công nghệ chế biến thủy sản,2,1.0954451150103321,11.750955348978188,0,0,0,0,0
Kinh doanh thời trang và dệt may,1,0.9165151389911681,10.303875666370415,0,0,0,0,0
Quản lý tài nguyên và môi trường,2,1.1357816691600546,18.001939714033877,0,0,0,0,0
Du lịch,3,1.42828568570857,18.322304058024923,0,0,0,0,0
Logistics và quản lý chuỗi cung ứng,2,1.4,13.632944052114695,0,0,0,0,0
Công nghệ vật liệu,3,1.1357816691600546,13.255381607584102,0,0,0,0,0
Kỹ thuật nhiệt,2,1.2649110640673518,9.435960229388774,0,0,0,0,0
Công nghệ kỹ thuật môi trường,3,1.3,16.35342970352331,0,0,0,0,0
Quản trị kinh doanh,3,1.2,10.194911768856953,0,0,0,0,0
Kinh doanh thời trang và dệt may,2,1.2,15.012428350771529,0,0,0,0,0
